r,g,b,color
127,164,0,green
162,0,2,red
0,236,60,green
130,0,231,purple
181,0,191,purple
36,0,177,blue
148,0,10,red
203,229,0,yellow
11,0,251,blue
0,7,3,black
2,138,0,green
124,171,0,green
19,216,0,green
115,0,126,purple
196,206,0,yellow
128,215,0,green
103,175,0,green
223,0,105,pink
201,75,0,orange
0,159,230,blue
0,113,248,blue
0,101,211,blue
246,0,19,red
99,52,0,brown
208,0,93,pink
114,0,137,purple
243,14,0,red
0,176,60,green
0,155,234,blue
11,0,135,blue
182,99,0,orange
232,89,0,orange
0,94,0,green
0,35,102,blue
1,193,0,green
48,116,0,green
114,157,0,green
0,41,139,blue
106,0,251,purple
71,153,0,green
234,236,0,yellow
0,159,13,green
211,0,213,pink
197,79,0,orange
0,48,83,blue
172,0,130,purple
249,0,216,pink
47,0,29,purple
135,0,77,purple
120,213,0,green
102,244,0,green
0,68,252,blue
6,99,0,green
86,0,106,purple
198,42,0,red
0,136,162,blue
0,225,109,green
235,135,0,orange
154,0,247,purple
5,0,237,blue
62,178,0,green
0,168,30,green
238,0,30,red
0,249,68,green
191,0,113,pink
130,201,0,green
0,166,195,blue
90,113,0,green
214,196,0,yellow
228,0,201,pink
93,0,152,purple
108,0,142,purple
0,138,160,blue
87,0,165,purple
0,193,15,green
247,0,124,pink
237,0,227,pink
108,0,114,purple
0,117,233,blue
200,190,0,yellow
52,0,144,blue
215,175,0,yellow
216,0,116,pink
201,240,0,yellow
110,87,0,brown
8,0,236,blue
0,116,71,green
131,158,0,green
15,57,0,green
22,0,116,blue
12,190,0,green
223,147,0,orange
79,0,164,purple
175,0,10,red
251,0,0,red
6,132,0,green
132,0,5,red
112,0,23,red
76,32,0,brown
241,0,55,red
97,166,0,green
252,36,0,red
38,0,111,blue
0,20,198,blue
206,0,164,pink
72,0,117,purple
162,0,248,purple
69,0,72,purple
1,0,10,black
253,0,150,pink
25,0,222,blue
0,129,237,blue
41,171,0,green
0,61,150,blue
2,190,0,green
0,76,166,blue
85,0,79,purple
0,193,12,green
91,0,81,purple
246,175,0,yellow
131,24,0,red
0,19,103,blue
82,254,0,green
157,158,0,green
0,26,236,blue
0,207,111,green
230,115,0,orange
108,133,0,green
98,0,159,purple
72,111,0,green
173,7,0,red
91,158,0,green
141,45,0,brown
203,213,0,yellow
0,211,64,green
163,208,0,green
76,0,47,purple
198,0,133,pink
191,0,101,pink
167,0,0,red
186,10,0,red
189,0,163,purple
123,0,180,purple
166,47,0,red
206,0,83,pink
123,0,112,purple
0,14,221,blue
0,101,124,blue
0,166,171,blue
53,0,204,blue
41,141,0,green
93,134,0,green
0,129,153,blue
225,0,92,pink
55,4,0,brown
68,231,0,green
0,90,154,blue
0,83,176,blue
241,0,219,pink
85,141,0,green
0,137,210,blue
172,0,168,purple
96,0,178,purple
114,0,188,purple
41,105,0,green
0,228,79,green
0,59,112,blue
0,101,155,blue
0,226,94,green
31,205,0,green
0,83,25,green
0,50,102,blue
0,165,189,blue
188,0,64,red
0,17,228,blue
0,67,190,blue
126,54,0,brown
141,244,0,green
0,92,236,blue
210,0,30,red
0,188,34,green
0,115,52,green
0,111,244,blue
232,173,0,yellow
0,151,69,green
121,221,0,green
204,0,61,red
125,0,121,purple
193,0,159,pink
143,0,193,purple
182,0,115,pink
17,196,0,green
124,182,0,green
248,106,0,orange
237,0,154,pink
188,157,0,yellow
223,0,191,pink
81,192,0,green
244,83,0,orange
47,42,0,brown
72,0,204,blue
0,24,212,blue
127,0,98,purple
18,157,0,green
0,40,216,blue
0,115,204,blue
175,0,219,purple
136,0,34,red
57,164,0,green
78,0,81,purple
228,0,109,pink
0,30,103,blue
108,32,0,brown
0,152,29,green
0,98,219,blue
0,141,170,blue
0,103,66,green
213,176,0,yellow
123,188,0,green
0,14,217,blue
116,44,0,brown
0,156,64,green
187,0,218,purple
0,92,168,blue
157,0,32,red
48,0,247,blue
32,239,0,green
157,0,240,purple
174,61,0,orange
0,50,183,blue
55,157,0,green
0,51,96,blue
96,59,0,brown
0,64,178,blue
44,0,125,blue
186,0,110,pink
173,0,221,purple
0,188,125,green
97,0,120,purple
144,0,101,purple
0,161,41,green
184,59,0,orange
189,0,158,pink
77,230,0,green
0,132,46,green
0,240,154,green
0,147,16,green
117,163,0,green
107,71,0,brown
188,91,0,orange
44,249,0,green
6,0,245,blue
221,0,42,red
98,204,0,green
26,0,173,blue
0,159,101,green
49,0,106,purple
117,92,0,brown
95,0,138,purple
136,0,217,purple
126,0,131,purple
217,77,0,orange
71,82,0,green
0,54,229,blue
56,93,0,green
0,9,219,blue
0,222,88,green
0,63,159,blue
231,0,54,red
0,68,155,blue
0,46,242,blue
0,238,7,green
150,0,30,red
186,161,0,yellow
144,147,0,green
121,0,17,red
255,9,0,red
41,0,204,blue
76,0,59,purple
202,0,67,pink
0,32,212,blue
56,101,0,green
231,155,0,orange
0,142,237,blue
89,0,211,purple
0,215,46,green
204,200,0,yellow
0,142,183,blue
0,66,234,blue
174,114,0,brown
229,147,0,orange
112,24,0,brown
0,35,109,blue
248,115,0,orange
0,104,178,blue
107,134,0,green
126,4,0,red
0,24,112,blue
0,87,188,blue
1,252,0,green
7,0,99,blue
0,89,123,blue
60,65,0,green
0,134,56,green
203,55,0,orange
45,156,0,green
100,0,125,purple
0,160,222,blue
108,18,0,red
134,133,0,green
0,159,98,green
5,0,143,blue
77,0,54,purple
0,100,57,green
144,0,50,red
120,0,174,purple
0,58,85,blue
0,56,102,blue
152,0,18,red
146,0,40,red
0,81,139,blue
0,126,1,green
46,0,123,blue
207,113,0,orange
200,0,62,red
0,104,18,green
97,225,0,green
0,60,151,blue
0,165,4,green
1,111,0,green
0,33,183,blue
233,224,0,yellow
110,0,212,purple
0,97,67,green
0,23,166,blue
111,0,168,purple
0,129,1,green
218,104,0,orange
151,0,172,purple
81,0,151,purple
235,241,0,yellow
0,240,91,green
45,82,0,green
7,183,0,green
13,68,0,green
240,0,245,pink
0,123,251,blue
0,168,16,green
138,106,0,brown
0,132,90,green
122,208,0,green
134,0,146,purple
171,0,7,red
223,227,0,yellow
128,0,30,red
159,0,223,purple
159,199,0,green
251,145,0,orange
89,23,0,brown
0,39,195,blue
167,0,188,purple
0,15,19,black
188,197,0,yellow
247,38,0,red
53,115,0,green
88,106,0,green
90,0,237,blue
83,0,192,purple
214,178,0,yellow
37,0,198,blue
195,0,241,purple
198,0,233,purple
213,91,0,orange
222,0,73,pink
157,224,0,green
0,153,178,blue
89,21,0,brown
199,95,0,orange
104,86,0,brown
0,189,194,blue
108,0,124,purple
200,58,0,orange
0,28,96,blue
64,239,0,green
156,14,0,red
27,25,0,brown
58,133,0,green
20,224,0,green
84,0,249,blue
197,0,39,red
0,80,51,green
91,71,0,brown
0,24,205,blue
238,8,0,red
73,18,0,brown
99,0,221,purple
240,254,0,yellow
93,30,0,brown
254,0,58,red
237,0,9,red
211,0,7,red
82,130,0,green
168,0,46,red
79,39,0,brown
0,230,100,green
173,0,29,red
19,0,12,black
242,0,187,pink
0,82,157,blue
104,0,75,purple
30,0,1,brown
79,157,0,green
0,241,112,green
40,242,0,green
134,0,229,purple
166,0,20,red
148,0,211,purple
221,200,0,yellow
57,191,0,green
161,0,237,purple
0,65,181,blue
0,119,245,blue
106,0,198,purple
86,203,0,green
223,0,219,pink
117,0,151,purple
0,110,229,blue
0,51,172,blue
194,0,116,pink
0,29,118,blue
25,13,0,brown
81,0,176,purple
212,113,0,orange
0,183,72,green
97,168,0,green
184,0,110,pink
57,0,149,blue
151,0,181,purple
33,106,0,green
0,104,163,blue
41,60,0,green
0,129,211,blue
142,56,0,brown
199,0,189,pink
14,162,0,green
66,80,0,green
244,158,0,orange
0,132,224,blue
0,247,66,green
128,214,0,green
25,177,0,green
161,68,0,brown
0,3,144,blue
0,211,120,green
60,110,0,green
155,0,20,red
122,196,0,green
171,65,0,orange
53,78,0,green
0,248,115,green
234,0,159,pink
124,13,0,red
216,0,2,red
224,240,0,yellow
0,184,77,green
142,0,158,purple
53,232,0,green
0,174,27,green
228,0,118,pink
234,0,192,pink
217,189,0,yellow
233,0,217,pink
25,69,0,green
0,174,0,green
225,0,87,pink
128,25,0,red
0,37,242,blue
0,50,181,blue
228,0,114,pink
0,62,228,blue
0,94,129,blue
133,0,0,red
133,0,180,purple
66,0,194,blue
127,0,28,red
97,0,211,purple
0,3,253,blue
122,0,59,purple
0,160,42,green
0,93,190,blue
0,76,133,blue
113,242,0,green
0,101,10,green
0,43,53,blue
47,121,0,green
102,0,90,purple
98,0,217,purple
175,0,165,purple
194,26,0,red
148,24,0,red
0,31,121,blue
95,178,0,green
149,181,0,green
138,135,0,green
0,108,25,green
254,104,0,orange
0,4,157,blue
13,77,0,green
0,67,94,blue
55,0,141,blue
17,0,128,blue
163,85,0,brown
180,0,19,red
0,36,190,blue
0,51,150,blue
0,229,146,green
0,222,59,green
0,89,169,blue
249,5,0,red
114,0,152,purple
243,0,100,pink
225,230,0,yellow
220,0,101,pink
163,0,8,red
0,136,1,green
76,109,0,green
0,115,3,green
0,75,226,blue
0,85,112,blue
162,163,0,green
6,226,0,green
0,63,213,blue
96,0,188,purple
0,118,24,green
42,34,0,brown
20,0,141,blue
116,0,210,purple
111,63,0,brown
0,34,129,blue
0,220,73,green
0,102,247,blue
0,149,76,green
228,192,0,yellow
235,230,0,yellow
0,227,57,green
36,224,0,green
0,7,234,blue
0,121,29,green
137,0,36,red
0,231,94,green
88,0,117,purple
0,93,0,green
93,0,219,purple
4,1,0,black
128,46,0,brown
227,98,0,orange
183,0,203,purple
0,129,155,blue
246,166,0,orange
0,28,137,blue
251,0,63,red
175,0,189,purple
0,85,250,blue
33,16,0,brown
85,51,0,brown
205,0,122,pink
141,196,0,green
0,17,9,black
0,41,116,blue
55,0,55,purple
148,0,141,purple
0,42,116,blue
0,250,98,green
208,147,0,orange
66,0,55,purple
0,126,242,blue
251,242,0,yellow
169,132,0,brown
107,40,0,brown
0,140,189,blue
183,94,0,orange
0,155,167,blue
204,66,0,orange
115,51,0,brown
200,0,19,red
0,83,173,blue
244,0,110,pink
112,0,150,purple
9,0,127,blue
0,153,102,green
57,0,103,purple
213,144,0,orange
149,0,247,purple
14,201,0,green
0,111,53,green
0,33,192,blue
188,0,22,red
0,21,200,blue
186,225,0,yellow
109,164,0,green
237,0,151,pink
0,3,206,blue
14,216,0,green
62,83,0,green
222,36,0,red
167,0,168,purple
0,150,206,blue
30,155,0,green
149,0,222,purple
200,0,213,purple
151,47,0,brown
0,85,233,blue
0,245,103,green
193,122,0,orange
168,0,101,pink
200,0,165,pink
0,21,201,blue
0,112,54,green
22,130,0,green
141,0,18,red
223,0,97,pink
0,105,247,blue
0,45,133,blue
202,103,0,orange
212,0,93,pink
224,0,90,pink
148,0,35,red
6,0,181,blue
149,0,232,purple
207,0,122,pink
14,168,0,green
0,5,156,blue
240,0,113,pink
173,0,100,pink
0,24,138,blue
107,0,173,purple
135,0,191,purple
160,0,0,red
217,8,0,red
96,169,0,green
0,209,72,green
196,21,0,red
161,98,0,brown
200,0,100,pink
172,198,0,green
0,119,228,blue
221,0,250,pink
0,189,11,green
3,0,121,blue
0,16,221,blue
117,166,0,green
185,0,2,red
0,111,77,green
45,0,68,purple
25,0,162,blue
0,70,16,green
12,0,165,blue
0,105,54,green
158,0,210,purple
232,212,0,yellow
216,211,0,yellow
212,134,0,orange
0,168,3,green
233,0,155,pink
0,137,160,blue
243,0,99,pink
199,0,220,purple
135,0,6,red
79,0,55,purple
0,236,122,green
0,83,191,blue
0,154,52,green
0,204,23,green
87,231,0,green
54,205,0,green
0,161,249,blue
0,161,109,green
102,0,1,red
190,29,0,red
249,115,0,orange
88,0,243,blue
16,101,0,green
0,195,49,green
0,132,148,blue
126,0,193,purple
0,34,206,blue
9,0,206,blue
124,234,0,green
0,110,28,green
135,79,0,brown
56,174,0,green
0,209,96,green
204,184,0,yellow
156,0,250,purple
14,0,206,blue
209,68,0,orange
51,0,199,blue
239,203,0,yellow
76,150,0,green
165,8,0,red
87,0,99,purple
49,0,117,purple
70,0,113,purple
0,85,236,blue
0,146,253,blue
224,78,0,orange
9,0,116,blue
134,56,0,brown
255,0,226,pink
194,0,34,red
207,217,0,yellow
0,57,179,blue
114,188,0,green
213,0,205,pink
0,88,175,blue
43,155,0,green
217,0,185,pink
120,0,187,purple
0,218,131,green
233,222,0,yellow
81,0,50,purple
213,0,113,pink
0,9,108,blue
0,83,101,blue
149,0,168,purple
17,162,0,green
57,0,131,purple
198,4,0,red
0,241,7,green
0,142,20,green
237,211,0,yellow
23,222,0,green
131,0,174,purple
233,0,0,red
14,218,0,green
24,0,8,black
37,72,0,green
0,139,164,blue
205,143,0,orange
0,68,46,green
0,85,216,blue
200,18,0,red
194,0,136,pink
3,0,209,blue
0,77,213,blue
0,124,40,green
0,119,239,blue
204,0,7,red
98,153,0,green
145,201,0,green
215,0,78,pink
140,150,0,green
170,155,0,yellow
88,0,245,blue
0,194,59,green
0,190,101,green
111,239,0,green
19,171,0,green
53,0,168,blue
0,23,230,blue
70,0,152,purple
255,217,0,yellow
83,49,0,brown
0,124,74,green
144,0,239,purple
0,239,127,green
138,0,0,red
0,163,200,blue
181,244,0,yellow
0,176,6,green
0,52,182,blue
156,0,43,red
132,0,171,purple
146,0,237,purple
228,175,0,yellow
117,0,79,purple
0,108,177,blue
176,0,59,red
195,205,0,yellow
97,210,0,green
49,62,0,green
0,218,100,green
39,0,138,blue
86,56,0,brown
0,227,19,green
187,116,0,orange
0,10,6,black
90,0,248,blue
228,34,0,red
216,47,0,red
0,97,240,blue
202,250,0,yellow
0,42,76,blue
127,0,1,red
74,167,0,green
142,0,96,purple
229,0,216,pink
187,43,0,red
0,246,61,green
244,0,177,pink
133,0,197,purple
0,5,86,blue
0,218,55,green
213,45,0,red
0,113,52,green
238,21,0,red
0,62,18,green
196,0,212,purple
106,0,241,purple
0,117,251,blue
0,17,212,blue
0,227,138,green
186,0,62,red
166,166,0,yellow
96,0,252,blue
0,79,41,green
0,214,2,green
80,255,0,green
84,157,0,green
99,127,0,green
232,206,0,yellow
11,107,0,green
136,0,220,purple
19,0,200,blue
0,153,34,green
54,242,0,green
20,136,0,green
151,166,0,green
67,0,56,purple
0,173,33,green
0,189,2,green
241,26,0,red
45,0,99,purple
202,0,245,purple
120,0,232,purple
238,18,0,red
244,36,0,red
92,0,78,purple
243,219,0,yellow
27,0,175,blue
76,0,48,purple
210,0,254,purple
179,212,0,yellow
233,8,0,red
0,66,239,blue
199,186,0,yellow
0,102,225,blue
155,221,0,green
0,140,48,green
210,37,0,red
186,107,0,orange
0,59,107,blue
77,0,114,purple
0,83,225,blue
68,154,0,green
0,221,54,green
157,0,214,purple
0,64,107,blue
0,213,38,green
119,0,216,purple
0,42,212,blue
32,0,55,purple
0,11,160,blue
75,0,125,purple
187,0,43,red
53,0,65,purple
74,0,203,blue
0,17,151,blue
148,0,163,purple
68,219,0,green
37,0,72,purple
182,0,199,purple
246,3,0,red
0,75,213,blue
47,21,0,brown
0,200,94,green
0,10,255,blue
64,0,207,blue
0,175,46,green
130,86,0,brown
166,0,251,purple
93,0,167,purple
129,0,196,purple
0,240,46,green
0,114,77,green
50,0,248,blue
0,161,204,blue
126,75,0,brown
122,235,0,green
126,0,4,red
0,157,229,blue
22,0,240,blue
0,117,198,blue
0,174,193,blue
231,29,0,red
92,0,253,blue
0,111,158,blue
237,83,0,orange
110,177,0,green
136,223,0,green
189,2,0,red
67,0,115,purple
0,122,152,blue
27,218,0,green
0,14,9,black
0,122,208,blue
208,24,0,red
146,0,134,purple
6,117,0,green
0,30,191,blue
65,22,0,brown
177,7,0,red
240,56,0,orange
215,0,71,pink
0,75,6,green
0,74,226,blue
99,0,114,purple
253,0,99,pink
237,0,14,red
0,170,197,blue
168,0,160,purple
72,247,0,green
214,149,0,orange
230,34,0,red
27,0,247,blue
75,197,0,green
44,0,94,purple
0,250,134,green
171,31,0,red
0,96,132,blue
0,46,156,blue
0,149,32,green
245,227,0,yellow
12,0,188,blue
220,0,22,red
0,227,99,green
0,87,105,blue
204,21,0,red
153,104,0,brown
0,170,111,green
30,0,9,black
0,23,81,blue
0,210,34,green
194,22,0,red
0,111,34,green
0,233,160,green
0,78,252,blue
140,0,197,purple
253,0,22,red
85,0,216,purple
105,0,236,purple
36,0,211,blue
220,250,0,yellow
0,49,193,blue
44,177,0,green
119,168,0,green
0,53,68,blue
41,74,0,green
0,83,165,blue
226,44,0,red
0,220,4,green
188,125,0,orange
39,247,0,green
248,86,0,orange
0,238,136,green
197,0,66,red
31,68,0,green
174,0,189,purple
0,102,51,green
38,102,0,green
0,167,91,green
147,0,110,purple
0,212,16,green
0,66,13,green
121,0,164,purple
0,71,154,blue
146,173,0,green
37,0,39,purple
112,140,0,green
233,2,0,red
0,41,173,blue
129,7,0,red
117,53,0,brown
190,0,125,pink
0,100,218,blue
0,71,219,blue
40,0,173,blue
0,212,43,green
0,173,49,green
0,46,169,blue
176,22,0,red
40,140,0,green
129,244,0,green
218,155,0,orange
0,57,81,blue
0,157,239,blue
0,193,25,green
9,174,0,green
218,40,0,red
0,98,198,blue
0,233,57,green
0,9,206,blue
0,209,111,green
58,72,0,green
68,132,0,green
179,0,164,purple
46,0,142,blue
255,43,0,red
0,246,23,green
240,0,230,pink
131,0,159,purple
20,0,244,blue
57,0,148,blue
181,0,241,purple
0,217,79,green
0,212,126,green
0,64,147,blue
127,202,0,green
37,237,0,green
171,0,161,purple
121,0,63,purple
198,0,11,red
25,0,126,blue
0,32,158,blue
127,99,0,brown
222,0,193,pink
0,42,166,blue
124,0,126,purple
0,18,193,blue
0,10,93,blue
202,132,0,orange
151,165,0,green
206,0,222,purple
249,22,0,red
79,117,0,green
0,219,13,green
0,81,249,blue
0,5,162,blue
9,0,210,blue
37,0,43,purple
237,0,131,pink
192,121,0,orange
211,250,0,yellow
0,60,71,blue
215,0,6,red
68,0,79,purple
38,0,185,blue
168,0,51,red
6,215,0,green
165,202,0,green
33,101,0,green
3,0,169,blue
224,0,171,pink
114,7,0,red
242,0,184,pink
119,0,214,purple
82,170,0,green
249,113,0,orange
0,48,62,blue
0,255,0,green
0,145,236,blue
0,162,205,blue
255,0,17,red
0,163,219,blue
248,0,253,pink
168,0,187,purple
187,0,179,purple
47,209,0,green
232,0,234,pink
0,204,7,green
167,8,0,red
0,238,132,green
235,0,26,red
36,213,0,green
139,0,171,purple
26,0,149,blue
130,108,0,brown
67,51,0,brown
0,19,139,blue
124,0,114,purple
212,0,20,red
105,22,0,brown
114,67,0,brown
0,35,140,blue
58,0,87,purple
0,216,127,green
0,226,77,green
119,231,0,green
151,0,159,purple
0,66,186,blue
0,201,69,green
97,185,0,green
22,175,0,green
154,68,0,brown
186,192,0,yellow
63,0,44,purple
25,99,0,green
224,199,0,yellow
34,0,106,blue
0,0,11,black
147,0,186,purple
54,0,59,purple
94,107,0,green
57,0,50,purple
94,0,104,purple
233,0,130,pink
0,244,35,green
0,183,65,green
7,0,96,blue
17,0,191,blue
31,0,111,blue
80,0,68,purple
226,0,128,pink
223,0,32,red
72,106,0,green
0,7,254,blue
0,182,89,green
6,0,214,blue
21,0,94,blue
145,117,0,brown
186,0,141,pink
102,0,191,purple
243,0,92,pink
138,0,134,purple
0,0,21,black
31,0,9,brown
242,167,0,orange
59,249,0,green
213,0,217,pink
75,0,130,purple
0,17,93,blue
156,0,110,purple
58,0,31,purple
180,0,80,pink
0,159,67,green
214,0,107,pink
159,107,0,brown
252,0,162,pink
0,74,11,green
175,63,0,orange
159,0,233,purple
187,156,0,yellow
0,247,31,green
0,5,142,blue
172,127,0,brown
176,0,194,purple
193,57,0,orange
232,48,0,orange
0,14,101,blue
0,161,1,green
109,0,128,purple
33,114,0,green
144,0,149,purple
0,178,207,blue
0,224,52,green
81,107,0,green
6,0,145,blue
200,48,0,orange
177,163,0,yellow
0,178,199,blue
144,0,166,purple
143,0,213,purple
66,0,138,purple
0,233,105,green
0,74,245,blue
79,174,0,green
57,247,0,green
225,0,245,pink
55,0,126,purple
29,0,175,blue
193,176,0,yellow
178,57,0,orange
30,156,0,green
134,0,89,purple
243,0,213,pink
237,0,25,red
89,137,0,green
151,161,0,green
0,6,166,blue
122,0,148,purple
0,215,27,green
130,211,0,green
209,45,0,red
0,121,40,green
210,0,101,pink
0,145,22,green
230,223,0,yellow
0,226,62,green
41,31,0,brown
0,172,196,blue
173,0,61,red
110,2,0,red
54,0,141,blue
107,0,132,purple
122,0,201,purple
187,0,77,pink
0,118,173,blue
141,65,0,brown
0,74,117,blue
176,205,0,yellow
0,2,184,blue
190,0,34,red
0,36,240,blue
0,8,160,blue
101,0,246,purple
127,0,15,red
0,240,37,green
166,0,171,purple
100,0,132,purple
246,131,0,orange
0,208,120,green
206,76,0,orange
11,255,0,green
137,0,15,red
9,230,0,green
209,133,0,orange
0,23,219,blue
173,0,154,purple
0,150,70,green
77,96,0,green
113,0,17,red
25,0,240,blue
255,177,0,orange
18,0,16,black
190,0,23,red
242,0,2,red
220,44,0,red
187,0,147,pink
120,0,88,purple
61,29,0,brown
188,10,0,red
77,244,0,green
0,196,7,green
9,0,153,blue
117,0,140,purple
172,85,0,brown
11,209,0,green
107,60,0,brown
94,0,213,purple
0,144,34,green
46,0,37,purple
95,0,49,purple
18,0,133,blue
211,70,0,orange
120,0,107,purple
0,28,206,blue
0,114,67,green
165,64,0,orange
50,0,27,purple
234,72,0,orange
135,0,111,purple
203,134,0,orange
0,243,46,green
101,120,0,green
0,207,72,green
0,253,78,green
37,116,0,green
14,208,0,green
167,107,0,brown
84,0,151,purple
64,0,137,purple
213,189,0,yellow
0,62,28,green
222,141,0,orange
48,247,0,green
0,88,127,blue
0,122,81,green
205,0,102,pink
0,120,220,blue
231,0,32,red
45,190,0,green
8,61,0,green
85,171,0,green
170,0,254,purple
53,147,0,green
0,101,133,blue
241,87,0,orange
163,17,0,red
0,61,103,blue
236,24,0,red
0,68,41,green
126,193,0,green
120,0,124,purple
97,0,149,purple
0,227,114,green
218,0,146,pink
241,173,0,yellow
38,149,0,green
209,0,22,red
0,109,231,blue
48,94,0,green
0,24,189,blue
108,212,0,green
96,0,174,purple
151,0,101,purple
236,44,0,red
219,0,162,pink
78,0,239,blue
218,58,0,orange
145,48,0,brown
16,0,109,blue
21,0,108,blue
99,0,208,purple
0,158,221,blue
0,105,126,blue
60,109,0,green
122,213,0,green
0,164,79,green
33,86,0,green
123,0,231,purple
71,61,0,brown
0,1,173,blue
0,56,107,blue
254,34,0,red
248,176,0,yellow
0,149,237,blue
114,0,150,purple
50,70,0,green
0,150,249,blue
151,96,0,brown
127,52,0,brown
127,0,60,purple
44,0,74,purple
6,87,0,green
0,91,48,green
0,177,238,blue
245,0,21,red
7,234,0,green
0,46,170,blue
248,0,145,pink
50,138,0,green
145,0,255,purple
15,0,0,black
0,177,80,green
31,0,99,blue
131,141,0,green
0,117,148,blue
92,151,0,green
177,89,0,orange
0,27,219,blue
43,127,0,green
202,153,0,yellow
92,38,0,brown
0,197,107,green
127,0,135,purple
142,0,128,purple
0,67,123,blue
0,233,26,green
188,233,0,yellow
0,101,164,blue
249,0,187,pink
0,53,160,blue
53,0,62,purple
45,251,0,green
182,0,251,purple
0,37,208,blue
167,216,0,green
88,148,0,green
0,53,137,blue
207,30,0,red
147,152,0,green
7,0,11,black
189,0,179,purple
0,107,8,green
0,20,140,blue
219,0,53,red
199,29,0,red
221,183,0,yellow
245,0,12,red
60,0,250,blue
191,0,57,red
0,200,133,green
114,147,0,green
0,16,89,blue
154,0,146,purple
0,78,225,blue
140,153,0,green
121,0,74,purple
239,0,90,pink
223,0,193,pink
94,106,0,green
0,36,209,blue
255,0,28,red
199,0,203,purple
200,92,0,orange
95,0,183,purple
48,0,228,blue
0,226,75,green
163,0,196,purple
30,0,185,blue
174,100,0,orange
0,135,209,blue
160,98,0,brown
162,171,0,green
114,0,142,purple
15,197,0,green
0,139,202,blue
253,226,0,yellow
72,0,208,blue
170,199,0,green
225,113,0,orange
120,0,212,purple
0,139,155,blue
169,127,0,brown
0,93,204,blue
0,158,79,green
243,0,76,pink
47,25,0,brown
167,0,198,purple
0,25,120,blue
223,192,0,yellow
173,0,69,pink
178,0,83,pink
43,31,0,brown
108,0,243,purple
0,111,74,green
0,130,148,blue
83,119,0,green
221,60,0,orange
23,229,0,green
0,215,64,green
74,132,0,green
204,98,0,orange
214,183,0,yellow
0,7,228,blue
0,216,85,green
0,251,50,green
185,106,0,orange
57,0,225,blue
0,118,244,blue
0,164,30,green
251,0,8,red
67,235,0,green
230,0,37,red
50,0,146,blue
0,152,15,green
207,0,157,pink
163,18,0,red
197,0,130,pink
40,0,230,blue
214,206,0,yellow
72,55,0,brown
179,0,75,pink
0,19,204,blue
0,19,208,blue
14,0,212,blue
0,49,127,blue
206,229,0,yellow
0,201,126,green
176,26,0,red
92,43,0,brown
44,0,100,purple
0,86,34,green
84,0,96,purple
14,0,224,blue
0,123,37,green
149,0,21,red
231,121,0,orange
191,0,200,purple
98,0,188,purple
68,18,0,brown
188,0,92,pink
31,0,252,blue
0,130,155,blue
53,0,103,purple
240,185,0,yellow
0,166,191,blue
0,106,22,green
105,147,0,green
67,95,0,green
0,88,23,green
182,102,0,orange
0,88,173,blue
131,200,0,green
106,13,0,red
58,179,0,green
228,132,0,orange
12,0,160,blue
0,94,29,green
240,0,38,red
184,0,101,pink
17,80,0,green
57,0,35,purple
210,0,42,red
133,0,223,purple
230,98,0,orange
0,97,237,blue
47,0,232,blue
125,0,14,red
198,0,185,pink
0,59,166,blue
87,182,0,green
195,0,136,pink
131,0,121,purple
0,95,179,blue
215,0,16,red
54,159,0,green
62,0,178,blue
0,218,137,green
0,158,248,blue
0,74,197,blue
176,18,0,red
0,3,137,blue
226,0,0,red
152,0,193,purple
237,110,0,orange
206,0,141,pink
66,0,229,blue
213,199,0,yellow
64,235,0,green
96,0,76,purple
124,0,10,red
29,0,10,black
101,0,222,purple
222,210,0,yellow
213,6,0,red
0,111,143,blue
111,0,193,purple
160,0,41,red
0,134,94,green
226,103,0,orange
52,0,162,blue
253,0,211,pink
44,146,0,green
202,0,199,pink
0,251,104,green
30,87,0,green
62,0,55,purple
208,22,0,red
147,0,160,purple
105,0,226,purple
114,0,244,purple
126,0,230,purple
102,0,131,purple
226,0,226,pink
0,157,40,green
94,0,141,purple
4,12,0,black
146,0,146,purple
74,0,170,purple
54,178,0,green
180,0,177,purple
38,89,0,green
71,0,204,blue
188,22,0,red
84,232,0,green
147,51,0,brown
0,111,23,green
58,0,94,purple
76,91,0,green
164,0,197,purple
179,236,0,yellow
138,177,0,green
109,220,0,green
56,0,197,blue
161,0,241,purple
5,155,0,green
123,0,96,purple
75,104,0,green
0,254,146,green
54,11,0,brown
131,0,189,purple
90,185,0,green
167,0,189,purple
206,0,151,pink
47,0,174,blue
11,190,0,green
132,0,252,purple
224,194,0,yellow
101,0,224,purple
249,0,233,pink
84,0,104,purple
0,136,198,blue
80,0,235,blue
229,80,0,orange
59,108,0,green
92,72,0,brown
233,191,0,yellow
80,0,63,purple
50,0,63,purple
13,0,246,blue
153,0,158,purple
242,151,0,orange
0,111,210,blue
0,31,139,blue
244,131,0,orange
0,138,179,blue
44,223,0,green
37,36,0,brown
165,0,224,purple
215,31,0,red
150,75,0,brown
86,193,0,green
61,0,35,purple
211,210,0,yellow
199,73,0,orange
187,0,140,pink
0,20,111,blue
41,163,0,green
78,0,196,blue
39,235,0,green
195,0,237,purple
171,0,117,pink
190,234,0,yellow
0,39,200,blue
0,85,202,blue
226,64,0,orange
0,231,136,green
0,165,200,blue
153,0,213,purple
0,215,126,green
137,0,94,purple
7,160,0,green
0,129,33,green
102,59,0,brown
143,0,176,purple
